Place,Team name,County,Species,Tree diameter (inches),Carbon stored in tree (pounds),Carbon sequestered this year (pounds)
1,Girth Getters,Ramsey,Sugar maple,27.9,4694,846
2,Green Air,Ramsey,Silver Maple,59.2,29425,779
3,Izzy's  Inches,Steele,Elm,46.5,10683,272
4,Tree Detective Denise,Becker,Maple,19,1847,206
5,Gupta Gang,Olmsted,Silver maple,15.1,1056,193
6,Cul-de-sac Carbon Eaters,Dakota,Tilia x europaea (linden),20.6,1713,141
7,Gustafson's Carbon Farm,Wright,Green ash,24,2503,128
8,Team Trillium,Hubbard,White pine,28.4,2921,99
9,Silverlicious,Ramsey,Silver Maple,11.3,518,97
10,Tree Guyz,Saint Louis,White spruce,11.8,380,96
11,Wabedo Woods,Cass,White oak,15,1045,90
12,Webster Tree Frogs 2,Rice,White oak,12.6,679,85
13,Drimels Brush up on Hardwoods (DBH),Washington,White oak,33.2,7185,53
14,Webster Tree Frogs 1,Rice,Sugar maple,15.4,1107,51
15,TheBeesHive,Ramsey,Bur oak,29.1,5213,44
16,Duluth Lakeside,St. Louis,Quaking aspen,10.7,320,11
17,Team Tamarack,Hennepin,Tamarack,7.4,110,8
18,Strauss Haus,Olmsted,White pine,3.4,17,6
19,Henry's Tree,Steele,Skyline locust,3,14,2
20,Rex's Team,Hennepin,Silver maple,34.1,7668,0
